STUDENT NAME,GENDER,UID,D.O.B,RELIGION,BRANCH,SECTION,SEMESTER,HOSTEL,ROOM NO.,PHONE NO.,EMAIL,ADDRESS,STATE
NISHANT VORA,MALE,21BCS1272,03-02-2001,HINDU,AERONAUTICAL,176,1st,DAY SCHOLAR,501,4355534427,nishantvora@gmail.com,"SECTOR22, CHD",CHD
ABDUL KHAN,MALE,21BCS1276,23-02-1996,MUSLIM,AERONAUTICAL,201,2nd,LC-1,503,7733767652,abdulkhan@gmail.com,"SECTOR22, CHD",CHD
PARTH BARANWAL,MALE,21BCS1283,09-05-2000,HINDU,CLOUD COMPUTING,201,3rd,LC-2,209,6714007180,parthbaranwal@gmail.com,"SECTOR23, CHD",CHD
APOORV GUPTA,MALE,21BCS1295,19-03-2002,HINDU,CLOUD COMPUTING,126,3rd,NC-3,903,8167794064,apoorvgupta@gmail.com,"YAMUNANAGAR, HR",HR
SARTHAK TIWARI,MALE,21BCS1452,19-03-2000,HINDU,CSE,111,5th,ZAKIR-B,914,3214310542,sarthaktiwari@gmail.com,"GANDINAGAR, JK",JK
NAMAN VERMA,MALE,21BCS1568,27-01-2001,HINDU,CSE,110,6th,ZAKIR-A,907,7186505188,namanverma@gmail.com,"HISAR, HR",HR
PRATHAM SHARMA,MALE,21BCS1671,26-11-2003,HINDU,CSE,101,5th,DAY SCHOLAR,915,7209351498,prathamsharma@gmail.com,"MOTIHARI, BR",BR
HIMANSHU GUPTA,MALE,21BCS1701,01-06-2000,HINDU,CSE,176,6th,ZAKIR-B,901,5015666270,himanshugupta@gmail.com,"BILASPUR, HP",HP
ROHAN SINGH,MALE,21BCS1814,08-02-1997,HINDU,CSE,126,2nd,ZAKIR-B,913,8166306984,rohansingh@gmail.com,"LKO, UP",UP
ANKITA AGARWAL,MALE,21BCS1989,07-10-2004,HINDU,CSE,201,1st,ZAKIR-A,701,9102636984,ankitaagarwal@gmail.com,"BILASPUR, HP",HP
AFFAN MOIN,MALE,21BCS2284,06-06-2004,MUSLIM,CSE,101,1st,NC-3,715,2347044448,affanmoin@gmail.com,"YAMUNANAGAR, HR",HR
SHUBHAM JUYAL,MALE,21BCA1243,03-02-2002,HINDU,BCA,112,1st,NC-2,725,7586954120,SHUBHAMJUYAL@gmail.com,"LAKHIMPUR KHERI, UP",UP
AVINASH GOYAL,MALE,21BCA5260,22-02-2003,HINDU,BCA,102,1st,NC-3,421,8547523654,"AVINASHGOYAL@gmail,com","MOTIHARI, BR",BR
ABHAY SINGH,MALE,21BCA2354,06-09-2003,HINDU,BCA,102,1st,ZAKIR-A,215,9584235145,ABHAYSINGH@gmail.com,"HATA, GORAKHPUR, UP",UP
 ALOK PRATAP,MALE,21BCA1112,01-11-1999,HINDU,BCA,102,1st,ZAKIR-A,216,9587201421, ALOKPRATAP@gmail.com,"YAMUNANAGAR, HR",HR
RAIKIN FRANSHIS,MALE,21BCA1113,13-10-2002,CHRISTAN,BCA,102,1st,NC-3,217,9587456322,RAIKINFRANSHIS@gmail.com,"LKO, UP",UP
AKHILESH SINGH,MALE,21BCS1114,15-02-2003,HINDU,CSE,214,2nd,NC-2,120,8562354788,AKHILESHSINGH@gmail.com,"MOTIHARI, BR",BR
PIYUSH KUMAR ,MALE,21BCA1123,21-10-1998,HINDU,BCA,212,2nd,ZAKIR-B,119,8745214563,PIYUSHKUMAR@gmailcom ,"MOTIHARI, BR",BR
SAURABH KUMAR,MALE,21BCA1134,19-03-2001,HINDU,BCA,412,2nd,ZAKIR-B,225,8745693254,SAURABHKUMAR@gmail.com,"GANDINAGAR, JK",JK
NIKHIL GARHWAL,MALE,21BCA1145,01-09-2003,HINDU,BCA,212,1st,NC-2,512,8569521459,"GARHWAL@gmail,com","LKO, UP",UP
SHIVAM TIWARI,MALE,21BCA1165,27-12-2002,HINDU,BCA,410,1st,NC-3,501,9854125632,"SHIVAMTIWARI@gmail,com","LAKHIMPUR KHERI, UP",UP
JAYANT NAGDA,MALE,21BCA1234,28-08-1995,HINDU,BCA,402,1st,NC-3,503,7586525987,"JAYANTNAGDA@gmail,com","GOLA, UP",UP
TANMAY BHATT,MALE,21BCA1245,09-04-2003,HINDU,BCA,403,1st,ZAKIR-B,209,7896523651,"TANMAYBHAT@gmail,com","MOTIHARI, BR",BR
ANIL YADAV,MALE,21BCA1343,22-06-1999,HINDU,BCA,406,1st,NC-1,903,7458632588,"ANILYADAV@gmail,com","YAMUNANAGAR, HR",HR
GARV ,MALE,21BCA1465,20-03-1995,HINDU,BCA,102,2nd,NC-3,914,7854236589,"GARV@gmail,com ","GANDINAGAR, JK",JK
ANIKET SINGH,MALE,21BCA1472,21-05-2000,HINDU,BCA,201,4th,ZAKIR-A,907,9856325478,"ANIKETSINGH@gmail,com","HISAR, HR",HR
SAHIL BALCHANDANI,MALE,21BCA1532,28-10-2004,SINDHI,BCA,302,4th,NC-3,915,7856985632,"SAHILBALCHANDANI@gmail,com","HISAR, HR",HR
KHUSHI TIWARI,FEMALE,21BCA1632,27-04-2002,HINDU,BCA,204,3rd,SUKHNA,901,8569325412,KHUSHITIWARI@gmail.com,"GOLA, UP",UP
SHRADHA TIWARI,FEMALE,21BCA1896,10-08-2003,HINDU,BCA,103,3rd,TAGORE,913,7896582412,SHRADHATIWARI@gmail.com,"LKO, UP",UP
VANDITA TIWARI,FEMALE,21BCA2334,19-01-1997,HINDU,BCA,201,2nd,TAGORE,914,7896523658,VANDITATIWARI@gmail.com,"SECTOR22, CHD",CHD
SHRUTI SHARMA,FEMALE,21BCA2423,17-11-2001,HINDU,BCA,402,1st,TAGORE,907,8965254788,SHRUTISHARMA@gmail.com,"SECTOR23, CHD",CHD
SANYA SUKHIJA,FEMALE,21BCA2672,02-04-2002,SINDHI,BCA,403,1st,TAGORE,512,8745896585,SANYASUKHIJA@gmail.com,"LAKHIMPUR KHERI, UP",UP
HRIKESH BHUYAN,MALE,21BLA2542,06-12-2000,HINDU,BA.LLB,401,2nd,LC-2,315,8965874521,HRIKESHBHUYAN@gmail.com,"MOTIHARI, BR",BR
SAMANVAY SEKHRI,MALE,21BLA5664,24-08-1998,HINDU,BA.LLB,403,2nd,LC-2,906,9569854785,SAMANVAYSEKHRI@gmail.com,"LKO, UP",UP
PRACHI MITTAL,FEMALE,21BLA6557,27-02-2001,HINDU,BA.LLB,401,4th,SUKHNA,904,7896525874,PRACHIMITTAL@gmail.com,"HISAR, HR",HR
AMARJOT SINGH MAVI,MALE,21BLA4432,27-03-2002,SIKHISM,BA.LLB,201,4th,DAY SCHOLAR,910,7856985214,AMARJOTSINGHMAVI@gmail.com,"YAMUNANAGAR, HR",HR
AKSHAY KUMAR,MALE,21BLA5564,09-05-1999,HINDU,BA.LLB,301,1st,DAY SCHOLAR,410,9856256874,AKSHAYKUMAR@gmail.com,"GANDINAGAR, JK",JK
HARSH GUPTA,MALE,21BLA3643,18-09-2004,HINDU,BA.LLB,401,2nd,DAY SCHOLAR,110,8958745214,HARSHGUPTA@gmail.com,"GOLA, UP",UP
MAHIMA ARORA,FEMALE,21BLA3554,11-02-1995,SIKHISM,BA.LLB,102,3rd,TAGORE,123,8541258745,MAHIMAARORA@gmail.com,"SECTOR22, CHD",CHD
SATYARTYH MISHRA,MALE,21BLA2276,12-10-2004,HINDU,BA.LLB,201,2nd,ZAKIR-B,105,9856962541,SATYARTYHMISHRA@gmail.com,"SECTOR23, CHD",CHD
PRADHYUMAN MISHRA,MALE,21BLA5896,12-06-2004,HINDU,BA.LLB,302,2nd,ZAKIR-B,501,8569523651,PRADHYUMANMISHRA@gmail.com,"LAKHIMPUR KHERI, UP",UP
VANSHIKA GHAI,FEMALE,21BLA6524,29-04-2002,SIKHISM,BA.LLB,102,3rd,TAGORE,601,8452145636,VANSHIKAGHAI@gmail.com,"MOTIHARI, BR",BR
AJAY GREHWAL,MALE,21MBA2134,28-12-2003,SIKHISM,MBA,401,2nd,ZAKIR-A,603,7852636541,AJAYGREHWAL@gmail.com,"LKO, UP",UP
VARUN GOYAL,MALE,21MBA3542,31-03-1997,SIKHISM,MBA,404,4th,ZAKIR-A,612,8965236514,VARUNGOYAL@gmail.com,"HISAR, HR",HR
SWASTIK AGRAWAL,MALE,21MBA2237,19-11-1997,HINDU,MBA,403,5th,ZAKIR-A,410,9856325477,SWASTIKAGRAWAL@gmail.com,"YAMUNANAGAR, HR",HR
SURAJ SINGH,MALE,21MBA1234,30-06-1997,HINDU,MBA,201,5th,ZAKIR-A,110,8652365787,SURAJSINGH@gmail.com,"GANDINAGAR, JK",JK
CHITRANGI SHARMA,FEMALE,21MBA2263,23-01-1998,HINDU,MBA,101,6th,TAGORE,123,9856325414,CHITRANGISHARMA@gmail.com,"GOLA, UP",UP
DIGVIJAY RAJ PANDEY,MALE,21MBA2773,04-09-2000,HINDU,MBA,301,5th,LC-2,105,8563256987,DIGVIJAYRAJPANDEY@gmail.com,"LAKHIMPUR KHERI, UP",UP
GURJOT BHATIA,MALE,21MBA3736,28-08-2000,SIKHISM,MBA,201,6th,LC-1,501,7541236589,GURJOTBHATIA@gmail.com,"LKO, UP",UP
MUSKAN MEHRA,FEMALE,21MBA2737,25-09-1999,SIKHISM,MBA,203,1st,SUKHNA,601,9856325484,MUSKANMEHRA@gmail.com,"SECTOR22, CHD",CHD
MAHID ALLAHDIN,MALE,21MBA4621,03-02-2001,MUSLIM,MBA,201,1st,DAY SCHOLAR,603,8569853325,MAHIDALLAHDIN@gmail.com,"SECTOR22, CHD",CHD
REYA KUMAR,FEMALE,21MBA7632,23-02-1996,HINDU,MBA,201,2nd,TAGORE,612,7856985236,REYAKUMAR@gmail.com,"SECTOR23, CHD",CHD
SOUMYA SUNDRANI,FEMALE,21MBA4524,09-05-2000,SINDHI,MBA,102,3rd,TAGORE,610,7856325698,SOUMYASUNDRANI@gmail.com,"YAMUNANAGAR, HR",HR
DEV SHARMA,MALE,21BBA5435,19-03-2002,SIKHISM,BBA,202,3rd,NC-3,901,8745214569,DEVSHARMA@gmail.com,"GANDINAGAR, JK",JK
SIMRAN BLAR JAIN,FEMALE,21BBA7427,19-03-2000,JAINISM,BBA,402,5th,SUKHNA,914,9856325641,SIMRANBLARJAIN@gmail.com,"HISAR, HR",HR
SUHANA KHAN ,FEMALE,21BBA1453,27-01-2001,MUSLIM,BBA,201,6th,SUKHNA,907,7452365896,SUHANAKHAN @gmail.com,"MOTIHARI, BR",BR
UJJAL D GADVI,MALE,21BBA3452,26-11-2003,JAINISM,BBA,103,5th,ZAKIR-A,512,8563254781,UJJALGADVI@gmail.com,"BILASPUR, HP",HP
ARUSH RAJKUMAR,MALE,21BBA2534,01-06-2000,HINDU,BBA,210,6th,ZAKIR-B,315,9856254125,ARUSHRAJKUMAR@gmail.com,"LKO, UP",UP
EKTA NIGAM,FEMALE,21BBA6453,08-02-1997,SINDHI,BBA,201,2nd,TAGORE,906,9856325478,EKTANIGAM@gmail.com,"BILASPUR, HP",HP
ASMI GHANSANI,FEMALE,21BBA2435,07-10-2004,SINDHI,BBA,110,1st,TAGORE,904,8745236511,ASMIGHANSANI@gmail.com,"YAMUNANAGAR, HR",HR
ANJALI TRIPATHI,FEMALE,21BBA2535,06-06-2004,HINDU,BBA,401,1st,SUKHNA,405,9563254125,ANJALITRIPATHI@gmail.com,"AMBALA,PB",PB
NAVAN VERMA,MALE,21BCS1165,15-02-2001,HINDU,BCS,201,1st,DAY SCHOLAR,-,5896521456,NAVANVERMA@GMAIL.COM,"KHARAR,PB",PB
Test Student,MALE,21BCSXXXX,XX/XX/XX,HINDU,CSE,201,1st,Zakir-A,402,+91703300XXXX,example@gmail.com,"MOHALI,PB",PUNJAB
